text,year
"Matching: 
- [[""helping with supplies and materials"", ""Material Supply""],
- [""helping with finances, sponsors, and dry lab portion"", ""Fundraising""],
- [""helping with finances, sponsors, and dry lab portion"", ""Analysis""],
- [""training in various lab techniques"", ""Training""],
- [""answering questions and showing new methods in experimental design"", ""Supervision""],
- [""answering questions and showing new methods in experimental design"", ""Design""],
- [""being an extra voice"", ""Other""],
- [""cloning"", ""Experiments""],
- [""lactis growth"", ""Experiments""],
- [""protein expression and purification"", ""Experiments""],
- [""protein assays"", ""Experiments""],
- [""lab waste management"", ""Safety""]]",2015
"Here are the matched categories for each phrase:

- ""finance""
Matching: [[""finance"", ""Fundraising""]]

- ""administration""
Matching: [[""administration"", ""Administration""]]

- ""project design""
Matching: [[""project design"", ""Design""]]

- ""cloning""
Matching: [[""cloning"", ""Experiments""]]

- ""expression vector design""
Matching: [[""expression vector design"", ""Design""], [""expression vector design"", ""Experiments""]]

- ""parts description""
Matching: [[""parts description"", ""Parts""], [""parts description"", ""Documentation""]]

- ""testing""
Matching: [[""testing"", ""Experiments""]]

- ""refills materials and stock solutions""
Matching: [[""refills materials and stock solutions"", ""Material Supply""]]

- ""collaboration and outreach""
Matching: [[""collaboration and outreach"", ""Collaboration""], [""collaboration and outreach"", ""Public Engagement""]]

- ""pcr master""
Matching: [[""pcr master"", ""Experiments""]]",2015
"Matching:

- [[""wiki developer"", ""Documentation""]]
- [[""worked mainly on the wetware component"", ""Experiments""]]
- [[""designing hardware for the team's various experiments"", ""Hardware""]]
- [[""repairing"", ""Hardware""]]
- [[""group's math adviser"", ""Supervision""], [""group's math adviser"", ""Modelling""]]
- [[""resolve dermal ailments"", ""Other""]]
- [[""make software into hardware"", ""Software""], [""make software into hardware"", ""Hardware""]]
- [[""hunting down pcr machines"", ""Material Supply""]]
- [[""carry the team"", ""Other""]]
- [[""work on the wetwork"", ""Experiments""]]",2015
"Based on the provided phrases and the categories, here are the matches:

1. ""programming""
   - [[""programming"", ""Software""]]

2. ""implied interest in genetics""
   - [[""implied interest in genetics"", ""Other""]]

3. ""do transformations""
   - [[""do transformations"", ""Experiments""]]

4. ""pcr clean up""
   - [[""pcr clean up"", ""Experiments""]]

5. ""manage genspace""
   - [[""manage genspace"", ""Administration""]]

6. ""designed and built loomino""
   - [[""designed and built loomino"", ""Design""], [""designed and built loomino"", ""Hardware""]]

7. ""programmed the arduino""
   - [[""programmed the arduino"", ""Hardware""], [""programmed the arduino"", ""Software""]]

8. ""ensured the biology of loomino was possible""
   - [[""ensured the biology of loomino was possible"", ""Safety""], [""ensured the biology of loomino was possible"", ""Design""]]

9. ""biologist""
   - [[""biologist"", ""Experiments""]]

10. ""chemist""
    - [[""chemist"", ""Experiments""]]",2015
"Matching:

- [[""computer scientist"", ""Software""]],
- [[""philosopher"", ""Human Practices""]],
- [[""supervising in the lab"", ""Supervision""]],
- [[""organising team presentation training"", ""Training""]],
- [[""providing assistance in lab experiments"", ""Supervision""]],
- [[""providing experimental design input"", ""Design""]],
- [[""providing input and provision of lab materials"", ""Material Supply""]],
- [[""providing inspiration, input, team support, lab space and materials"", ""Supervision""], [""providing inspiration, input, team support, lab space and materials"", ""Material Supply""]],
- [[""providing feedback on human practices content and activities"", ""Supervision""], [""providing feedback on human practices content and activities"", ""Human Practices""]],
- [[""providing feedback on experiments, presentations and poster"", ""Supervision""], [""providing feedback on experiments, presentations and poster"", ""Analysis""], [""providing feedback on experiments, presentations and poster"", ""Creative Contributions""]]",2015
"Matching:

- [[""providing assistance in the lab"", ""Supervision""]]
- [[""providing input on the biological approach"", ""Supervision""]]
- [[""offering assistance and input on modeling"", ""Supervision""], [""offering assistance and input on modeling"", ""Modelling""]]
- [[""designing project's logo"", ""Creative Contributions""]]
- [[""providing photographs of edinburgh"", ""Documentation""]]
- [[""providing help and material for laser cutting and 3d printing"", ""Hardware""], [""providing help and material for laser cutting and 3d printing"", ""Material Supply""]]
- [[""spearheaded the policy and practices"", ""Human Practices""]]
- [[""assisting on the wiki"", ""Documentation""]]
- [[""designed the wiki"", ""Documentation""]]
- [[""taught everyone how to put up content"", ""Training""], [""taught everyone how to put up content"", ""Documentation""]]",2015
"Matching:

- [[""characterisation of parts"", ""Parts""]]
- [[""policy and practices"", ""Human Practices""]]
- [[""design and execution of characterisation of parts"", ""Design""], [""design and execution of characterisation of parts"", ""Parts""]]
- [[""input for the policy and practices"", ""Human Practices""]]
- [[""assisting with interlab measurements"", ""Interlab""]]
- [[""general molecular biology"", ""Experiments""]]
- [[""modeled and designed the physical device"", ""Modelling""], [""modeled and designed the physical device"", ""Hardware""]]
- [[""designed its software"", ""Software""]]
- [[""design and creation of the 71 biobricks"", ""Design""], [""design and creation of the 71 biobricks"", ""Parts""]]
- [[""in charge of the interlab study"", ""Interlab""]]",2015
"Here are the matched categories for each phrase:

- ""molecular biology""
  - [[""molecular biology"", ""Experiments""]]

- ""making cell lysates for enzyme characterisation""
  - [[""making cell lysates for enzyme characterisation"", ""Experiments""]]

- ""designed and created the 71 biobricks""
  - [[""designed and created the 71 biobricks"", ""Parts""]]

- ""assisted in the interlab study""
  - [[""assisted in the interlab study"", ""Interlab""]]

- ""part of the kent igem team""
  - [[""part of the kent igem team"", ""Other""]]

- ""working on the modeling""
  - [[""working on the modeling"", ""Modelling""]]

- ""working on the wiki""
  - [[""working on the wiki"", ""Documentation""]]

- ""helped the wet lab team""
  - [[""helped the wet lab team"", ""Experiments""]]

- ""part of the kent fungal group""
  - [[""part of the kent fungal group"", ""Other""]]

- ""part of the protein form and function group""
  - [[""part of the protein form and function group"", ""Other""]]",2015
"```
[[""part of the centre for molecular processing"", ""Other""],
 [""part of the microbial pathogenesis group"", ""Other""],
 [""helped the modeling team"", ""Modelling""],
 [""idea to create a monte carlo simulation"", ""Modelling""],
 [""part of the cytogenomics and bioinformatics group"", ""Analysis""],
 [""developed a new software"", ""Software""],
 [""part of the policy and practice team"", ""Human Practices""],
 [""carried out wet lab experiments"", ""Experiments""],
 [""organised and coded the wiki"", ""Documentation""],
 [""interviewed international politicians"", ""Human Practices""]]
```",2015
"Matching:

- [[""developed a questionnaire on synthetic biology"", ""Human Practices""]]
- [[""constructed the parameters list for the modelling"", ""Modelling""]]
- [[""designing the project"", ""Design""]]
- [[""rendered equations into a new software tool"", ""Software""]]
- [[""rendered 3d animations of our system"", ""Software""]]
- [[""created the code for the wiki pages"", ""Documentation""], [""created the code for the wiki pages"", ""Software""]]
- [[""performed transformations"", ""Experiments""]]
- [[""produced competent cells"", ""Experiments""]]
- [[""helped capture pictures with the atomic force microscope"", ""Experiments""]]
- [[""ran the organisational infrastructure of the team"", ""Administration""]]",2015
