context,category
collaborated,work
participated in,meetup
lab space lent by,material transfer
received genomic DNA and advice from,material transfer
received advice from,advice
collaborated,work
provided lab space,material transfer
supplied,material transfer
provided advice,advice
created contacts with,other
help to characterise,work
collaboration,work
collaborated,work
helped,advice
participated in study,meetup
attended workshop by,other
helped,advice
collaborated,work
provided plasmids,material transfer
visited,meetup
shared plasmids,material transfer
held meetup,meetup
identified errors,advice
provided hardware prototype,material transfer
provided feedback,advice
identified potential problem,advice
guided by,advice
collaborated on HumHub report,work
participated in event hosted by,meetup
met at event,meetup
exchanged ideas with,advice
discussed projects with,meetup
advised and offered collaboration or mentorship,advice
posed questions,advice
exchanged ideas,advice
participated in conference,meetup
cooperated,work
received parts from,material transfer
received guidance and environment from,advice
received site and meeting rooms from,other
continuous contact,other
provided inputs on microfluidics,advice
discussed with,meetup
reviewed articles for,advice
consulted professors for,advice
tried protocols for,work
suggested by,advice
advised,advice
sister team,other
suggested,advice
provided platform for,material transfer
agreed to characterize parts for,work
helped in coding wiki for,work
co-organized SynBioDay with,meetup
co-organized SynBioDay at,meetup
acknowledged,other
provided samples to,material transfer
congratulated,other
thanked,other
participated in event with,meetup
participated in,meetup
received feedback from,advice
interacted with,meetup
participated in surveys,other
received plasmids from,material transfer
collaborated,work
contributed to,work
distributed survey,other
tutored,advice
aided in mathematical modeling,advice
shared cloning protocols,material transfer
advised on human practices,advice
assisted,work
shared laboratory with,material transfer
received training with,work
shared materials with,material transfer
joined platform with,other
hosted interviews for,other
shared projects with,work
learned from,advice
helped with software,work
helped with modeling,work
communicated and advised,advice
helped with experiment and web design,work
collaborated with,work
supported,advice
offered mutations,material transfer
sent structures and sequences,material transfer
collaborated scientifically,work
participated in mini Jamboree hosted by,meetup
offered to improve,advice
collaboration counterpart,work
communicated with,advice
participated in newsletter,other
received EGF peptide from,material transfer
mentored,advice
provided,material transfer
helped,work
tested software for,work
offered,other
discussed projects with,meetup
engaged in discussion on biocontainment with,meetup
gave feedback on human practices to,advice
visited,meetup
received EGF peptide from,material transfer
mentored,advice
provided,material transfer
helped,work
tested software for,work
offered,other
discussed projects with,meetup
engaged in discussion on biocontainment with,meetup
gave feedback on human practices to,advice
visited,meetup
supported with materials and suggestions,material transfer
provided materials and suggestions,material transfer
designed educational materials for,work
met at event,meetup
received advice from,advice
used drone model from,material transfer
participated in meetup organized by,meetup
interviewed by,other
participated in survey by,other
received guidance from,advice
provided technical guidance,advice
participated in meetup,meetup
exchanged suggestions,advice
participated in conference,meetup
teamed up with,work
organized meetup with,meetup
helped organize,other
cooperated in sponsorship searching,other
discussed kit delivery system,work
answered surveys,advice
adjusted model with data from,work
video conference with,meetup
visited and exchanged ideas with,meetup
received project advice from,advice
provided 3D printing support to,work
received gene synthesis advice from,advice
received 3D model presentation advice from,advice
received target DNA from,material transfer
thanked for help in Nanosight,other
received support in modeling,advice
provided cells and advice to,material transfer
provided experimental help to,work
built expression system for,work
received help from,work
provided data,material transfer
tested for,work
joined campaign of,other
received analysis from,material transfer
discussed at meetup,meetup
recommended,advice
sent results to,material transfer
built cooperation relationship with,work
shipped genes for kill switch,material transfer
used kill switch from,material transfer
contributed materials,material transfer
