context,category
collaborated with,work
discussed project with,meetup
shared data with,material transfer
gave advice to,advice
participated in,meetup
lent lab space to,work
supplied,material transfer
provided advice to,advice
collaborated with,work
surveyed with,work
received help from,advice
participated in,meetup
collaborated with,work
worked on,work
received support from,advice
collaborated,work
challenged,other
uploaded vines to,material transfer
organized,other
gave advice to,advice
provided materials to,material transfer
collaborated,work
provided parts to,material transfer
collaborated with,work
helped,advice
participated in a meetup with,meetup
collaborated with,work
received help from,advice
distributed and collected surveys for,other
earned a silver Collaboration badge for their efforts with,other
provided plasmids to,material transfer
invited students from,meetup
shared plasmids with,material transfer
held meet-up with,meetup
provided hardware prototype to,material transfer
provided feedback on hardware to,advice
worked with,work
improved function of,work
characterized,work
debugged,work
modeled or simulated,work
tested,work
helped build and test,work
mentored,advice
worked on,work
participated in,meetup
received tour from,other
worked on collaboration platform with,work
co-authored report with,work
presented at,work
met and got to know,meetup
practiced for Giant Jamboree with,work
organized get-to-know-each-other activity for,other
skyped with,meetup
contacted,other
discussed modeling approaches with,work
collaborated,work
participated in survey,other
exchanged activities with,work
attended conference with,meetup
cooperated with,work
acknowledged,other
exchanged ideas with,work
provided inputs for,advice
invited,meetup
received support from,advice
shared experience with,meetup
had project seminar with,meetup
helped optimize and characterize,work
consulted with,advice
found part,material transfer
transformed cell with,work
helped,work
reviewed articles,work
consulted professors,advice
expressed interest in,other
shared reagents with,material transfer
purified,work
detected,work
recruited and brainstormed with,work
exchanged advice with,advice
provided suggestions to,advice
tested their software using,work
received help with biology from,advice
edited newsletter for,work
helped form wiki,work
co-organized event,work
co-presented,work
discussed ideas with,advice
established roots for future collaborations with,work
participated in event with,meetup
used equipment from,material transfer
thanked,advice
congratulated,advice
will see,meetup
shared useful links,material transfer
located in,other
represented,other
adapted from,other
visualized with,other
tested using,work
plated out on,work
provided replicates,material transfer
confirmed,work
received images from,material transfer
participated in InterLab Measurement Study,work
reported data to,material transfer
hosted,work
attended,meetup
participated in study,work
received questions and suggestions from,advice
received suggestions from,advice
received a question from,advice
received questions from,advice
provided opinion on usefulness of biobrick,advice
provided concerns about prototype and safety,advice
participated in surveys,work
collaborated with,work
received plasmids from,material transfer
shared project ideas with,advice
characterized GolS in vivo for,work
provided data for,material transfer
worked on a similar project with,work
provided access to,material transfer
contributed to,work
distributed survey for,material transfer
provided promoter for,material transfer
collaborated,work
assisted,work
helped,work
shared laboratory with,material transfer
received training with,work
shared cloning materials with,material transfer
had communication with,advice
mentored,advice
met,meetup
shared their project with,material transfer
communicated with,meetup
interviewed,work
created,work
hosted,meetup
contacted,meetup
obtained positive responses from,advice
discussed with,work
learned about,work
knows,work
benefits from,work
provided technical support for,work
held communication meetings with,work
received help from,advice
attended the 2016 Asia Pacific Conference with,meetup
has a Twitter account,other
has a Sina Weibo account,other
has a website,other
tested for,work
provided equipment for,material transfer
offered advice to,advice
algorithm from,other
sent structures and sequences,material transfer
participated in mini Jamboree,meetup
learned about project,advice
improved chemotaxis mechanism,work
used P. putida kt2440,work
used E. coli,work
used tripartite tricarboxylate transporter,work
used LC cutinase,work
used Terephthalic acid and ethylene glycol as ligands,work
designed improved receptors,work
expected bacterium to detect products,work
expected bacterium to migrate towards products,work
expected bacterium to expedite degradation rate of PET,work
attended newsletter held by,meetup
received purified EGF peptide from,material transfer
established IBD mice model and injected EGF solution,work
referred to related article and selected effective way to establish model,advice
weighed and measured mice,work
attributed to,other
used,work
achieved,other
received support from,advice
located at,meetup
trained with,work
had great communication with,work
based projects on same technology platform,work
co-organized event,work
provided,material transfer
tested app for,work
improved,work
tested software for,work
discussed survey responses with,work
gave feedback to,advice
supported,advice
provided suggestions to,advice
provided materials to,material transfer
assigned team member to help,work
offered help to,advice
presented projects to,meetup
provided highly pure Lcn2 protein to,material transfer
came up with idea for,other
attended,meetup
provided experiment protocols to,advice
participated in,work
affiliated with,other
competed for,work
won,other
kept a,other
used a,material transfer
followed a,other
worked as a,work
organized,other
visited,meetup
participated in conference,other
worked with,work
helped another team,advice
improved function of,work
characterized,work
debugged,work
exchanged materials with,material transfer
modeled or simulated,work
tested,work
built and tested,work
used technology from,material transfer
co-organized meetup,meetup
held meetup with,meetup
helped complete survey with,work
cooperated with,work
answered surveys from,other
connected on social media with,other
discussed,meetup
conducted experiment with,work
studied,work
worked on,work
observed,work
exchanged ideas with,work
gave advice to,advice
received advice from,advice
provided help,work
received support and supplement,work
provided support and supplement,advice
provided cells and advice,material transfer
received cells and advice,material transfer
helped build and test,work
provided lab access to,material transfer
provided PCR amplification for,work
provided reagents for digestion and joining of DNA to,material transfer
guided,advice
sent pBS1c3 parts and pGEX-KG expression vectors to,material transfer
tested expression system for,work
confirmed idea of theoretical inactivation with,work
received useful hints from,advice
provided feedback for,advice
provided descriptions for,material transfer
critiqued,advice
tagged,other
held presentations with,work
had a judge panel with,other
participated in campaign with,work
raised awareness for,other
received data analysis from,work
participated in Westminster UK iGEM meetup with,meetup
discussed issue of mutated DNA with,advice
built a closely cooperation relationship with,work
asked for help from,advice
learned from collaboration with,work
hopes to have more opportunities to contact,other
suggests that the headquarters establish a convenient platform for communication among,other
cherishes friendship with,other
worked on experiment design with,work
synthesized and shipped genes for,material transfer
worked on theoretical modeling with,work
enlightened,advice
contributed,work
helped with,work
provided reagents for,material transfer
supplied,material transfer
filled out surveys for,other
received experimental help from,work
