text,year
"Based on the provided phrases and the categories, here is the matching:

- [[""providing lab equipment, materials and space"", ""Material Supply""],
- [""endless support"", ""Supervision""],
- [""chemicals and apparatus"", ""Material Supply""],
- [""helping for supplies and materials"", ""Material Supply""],
- [""helping us sort finances, sponsors and other things relating to the dry lab"", ""Fundraising""],
- [""training in various lab techniques"", ""Training""],
- [""answering questions and showing new methods in experimental design"", ""Supervision""],
- [""aid and being an extra voice"", ""Supervision""],
- [""contribution of chemicals for expressing and purifying proteins"", ""Material Supply""],
- [""gave the idea for 'scaffococcus' project"", ""Design""]]",2015
"Matching: 
- [[""expertise, endless support, and challenging us to do better"", ""Supervision""],
- [""inspiring us and showing the broad possibilities in synthetic biology"", ""Human Practices""],
- [""cloning"", ""Experiments""],
- [""lactis growth"", ""Experiments""],
- [""protein expression and purification"", ""Experiments""],
- [""protein assays"", ""Experiments""],
- [""lab waste management"", ""Safety""],
- [""finance"", ""Fundraising""],
- [""administration"", ""Administration""],
- [""project design"", ""Design""]]",2015
"Matching:

- [[""cloning"", ""Experiments""],
- [""expression vector design"", ""Design""],
- [""parts description"", ""Parts""],
- [""testing"", ""Experiments""],
- [""refills materials and stock solutions"", ""Material Supply""],
- [""collaboration and outreach"", ""Collaboration""],
- [""collaboration and outreach"", ""Public Engagement""],
- [""pcr"", ""Experiments""],
- [""study circadian rhythms in rodents"", ""Experiments""],
- [""research on neuroeconomics using optogenetics"", ""Experiments""],
- [""co-founder of bricobio"", ""Entrepreneurship""]]",2015
"Based on the provided phrases and the categories, here are the matches:

- ""wiki developer"" matches with [""Documentation""]
- ""world traveler"" matches with [""Other""]
- ""person who person-ed"" matches with [""Other""]
- ""worked mainly on the wetware component"" matches with [""Experiments""]
- ""designing hardware for the team's various experiments"" matches with [""Hardware""]
- ""repair"" matches with [""Other""]
- ""group's math adviser"" matches with [""Modelling"", ""Supervision""]
- ""helping dionne learn spanish"" matches with [""Other""]
- ""partner-in-crime in csa"" matches with [""Other""]
- ""exercise eloquent oral skills in toastmasters"" matches with [""Public Engagement""]

The output as a list of lists is:

```
[[""wiki developer"", ""Documentation""],
 [""world traveler"", ""Other""],
 [""person who person-ed"", ""Other""],
 [""worked mainly on the wetware component"", ""Experiments""],
 [""designing hardware for the team's various experiments"", ""Hardware""],
 [""repair"", ""Other""],
 [""group's math adviser"", ""Modelling"", ""Supervision""],
 [""helping dionne learn spanish"", ""Other""],
 [""partner-in-crime in csa"", ""Other""],
 [""exercise eloquent oral skills in toastmasters"", ""Public Engagement""]]
```",2015
"Based on the provided phrases and the categories, here's how they match up:

1. ""resolve dermal ailments"" - This phrase does not directly match any of the provided categories as it describes an application or goal rather than a specific activity or role. It could imply Design if it's part of conceptualizing a project aimed at treating skin conditions, but without more context, it's hard to categorize. 
    - [[""resolve dermal ailments"", ""Other""]]

2. ""make susung's software into hardware"" - This implies working on converting software tools or algorithms into physical devices or systems, which fits both the Software and Hardware categories.
    - [[""make susung's software into hardware"", ""Software""], [""make susung's software into hardware"", ""Hardware""]]

3. ""hunting down pcr machines"" - This activity is related to Material Supply, as it involves sourcing necessary equipment for experiments.
    - [[""hunting down pcr machines"", ""Material Supply""]]

4. ""carry the team"" - This phrase is metaphorical and could imply taking on a leadership or significantly contributory role, but it doesn't fit neatly into any of the specified categories without more context.
    - [[""carry the team"", ""Other""]]

5. ""work on the wetwork"" - This clearly refers to Experiments, as ""wet work"" or ""wet lab"" activities involve hands-on laboratory work.
    - [[""work on the wetwork"", ""Experiments""]]

6. ""destroy keith at nba2k15"" - This is a recreational activity and does not relate to any of the iGEM competition categories.
    - [[""destroy keith at nba2k15"", ""Other""]]

7. ""implied interest in genetics"" - Expressing an interest in genetics could be part of the motivation or background research for a project, but as stated, it's more of a personal statement than a project activity.
    - [[""implied interest in genetics"", ""Other""]]

8. ""do transformations and pcr clean up"" - These are specific laboratory techniques used in synthetic biology, fitting the Experiments category.
    - [[""do transformations and pcr clean up"", ""Experiments""]]

9. ""mastermind behind igem at cooper union"" - This suggests a leadership or significant organizational role, potentially fitting Administration, but without specifying tasks, it's somewhat ambiguous.
    - [[""mastermind behind igem at cooper union"", ""Administration""]]

10. ""manage genspace"" - Managing a space like Genspace, which could be a lab or collaborative workspace, fits into Administration and potentially Material Supply if it involves overseeing the provision of space and resources.
    - [[""manage genspace"", ""Administration""], [""manage genspace"", ""Material Supply""]]",2015
"Matching:

- [""designed and built loomino"", ""Design""]
- [""designed and built loomino"", ""Hardware""]
- [""programmed the arduino"", ""Hardware""]
- [""programmed the arduino"", ""Software""]
- [""ensured the biology of loomino was possible"", ""Design""]
- [""ensured the biology of loomino was possible"", ""Safety""]
- [""bought my very first ice cream maker"", ""Other""]
- [""expect to find the question"", ""Other""]
- [""working with the people who will be impacted by our device"", ""Human Practices""]
- [""going to amsterdam to help incorporate human practices"", ""Human Practices""]
- [""interested in getting more informaticians to realise the sentiment"", ""Public Engagement""]
- [""connecting different technologies from contrasting disciplines"", ""Design""]
- [""interact with a very diverse group of people"", ""Public Engagement""]",2015
"Based on the provided phrases and the categories, here are the matched categories:

- [[""make a difference in lives of people caught in real struggle"", ""Human Practices""],
- [""starting my career and exploring the possibilities of synthetic biology"", ""Other""],
- [""supervising in the lab"", ""Supervision""],
- [""organising team presentation training"", ""Training""],
- [""providing assistance in the design and execution of lab experiments"", ""Supervision""],
- [""providing assistance in the design and execution of lab experiments"", ""Experiments""],
- [""providing experimental design input"", ""Design""],
- [""providing input and provision of lab materials"", ""Material Supply""],
- [""providing inspiration, input, team support, lab space and materials"", ""Supervision""],
- [""providing inspiration, input, team support, lab space and materials"", ""Material Supply""],
- [""providing feedback on our human practices content and activities"", ""Supervision""],
- [""providing feedback on our human practices content and activities"", ""Human Practices""],
- [""providing feedback on experiments, presentations and poster"", ""Supervision""]]",2015
"Based on the provided phrases and the categories, here's the matching:

- [[""providing assistance in the lab"", ""Supervision""],
- [""providing input on the biological approach behind our project"", ""Design""],
- [""offering assistance and input on the modeling of our biosensor"", ""Supervision""],
- [""offering assistance and input on the modeling of our biosensor"", ""Modelling""],
- [""designing our project's logo"", ""Creative Contributions""],
- [""providing photographs of edinburgh"", ""Documentation""],
- [""providing help and material for laser cutting and 3d printing"", ""Hardware""],
- [""spearheading the policy and practices"", ""Human Practices""],
- [""assisting on the wiki"", ""Documentation""],
- [""designing the wiki"", ""Documentation""],
- [""teaching how to put up content"", ""Training""]]",2015
"Based on the provided phrases and the categories, here is the matching:

- [[""characterisation of parts"", ""Parts""],
- [""policy and practices"", ""Human Practices""],
- [""design and execution of characterisation of parts"", ""Design""],
- [""design and execution of characterisation of parts"", ""Parts""],
- [""input for the policy and practices"", ""Human Practices""],
- [""assisting with interlab measurements"", ""Interlab""],
- [""general molecular biology"", ""Experiments""],
- [""modeling the physical device"", ""Modelling""],
- [""designing the physical device"", ""Design""],
- [""designing the physical device"", ""Hardware""],
- [""designing its software"", ""Software""],
- [""design and creation of the 71 biobricks"", ""Design""],
- [""design and creation of the 71 biobricks"", ""Parts""]]",2015
"Based on the provided phrases and the categories, here are the matches:

- ""in charge of the interlab study"" matches with [""Interlab""]
- ""molecular biology"" matches with [""Experiments""]
- ""making cell lysates for enzyme characterisation"" matches with [""Experiments""]
- ""assisted in the interlab study"" matches with [""Interlab""]
- ""part of the kent igem team"" does not directly match any of the provided categories, so it could be considered [""Other""]
- ""looking into doing further research"" matches with [""Design""] as it involves conceptualizing and background research
- ""writing short stories"" matches with [""Creative Contributions""]
- ""reading"" could be considered [""Other""] as it does not directly match any of the provided categories
- ""painting"" matches with [""Creative Contributions""]
- ""travelling"" could be considered [""Other""] as it does not directly match any of the provided categories

Therefore, the output is:

- [[""in charge of the interlab study"", ""Interlab""]]
- [[""molecular biology"", ""Experiments""]]
- [[""making cell lysates for enzyme characterisation"", ""Experiments""]]
- [[""assisted in the interlab study"", ""Interlab""]]
- [[""part of the kent igem team"", ""Other""]]
- [[""looking into doing further research"", ""Design""]]
- [[""writing short stories"", ""Creative Contributions""]]
- [[""reading"", ""Other""]]
- [[""painting"", ""Creative Contributions""]]
- [[""travelling"", ""Other""]]",2015
"Matching: [[""play for a local mens football team"", ""Other""], [""listening to music"", ""Other""], [""cooking"", ""Other""], [""working on the modeling"", ""Modelling""], [""working on the wiki"", ""Documentation""], [""play guitar"", ""Other""], [""play the piano"", ""Other""], [""running"", ""Other""], [""fencing"", ""Other""], [""skiing"", ""Other""]]",2015
"Based on the provided phrases and the categories, here is the matching:

- [[""blogging"", ""Public Engagement""]]
- [[""swimming"", ""Other""]]
- [[""watching sci-fi movies"", ""Other""]]
- [[""gaming"", ""Other""]]
- [[""playing tennis"", ""Other""]]
- [[""read books"", ""Other""]]
- [[""bake"", ""Other""]]
- [[""trek"", ""Other""]]
- [[""teaching"", ""Training""]]
- [[""helped the wet lab team"", ""Supervision""]]",2015
"Based on the provided phrases and the categories, here are the matched categories:

- [[""senior lecturer in chemical biology"", ""Supervision""],
- [""lecturer in microbial biochemistry"", ""Supervision""],
- [""helped the modeling team"", ""Supervision""],
- [""helped the modeling team"", ""Modelling""],
- [""idea to create a monte carlo simulation"", ""Modelling""],
- [""member of the cytogenomics and bioinformatics group"", ""Analysis""],
- [""developed model of amyloid nanowires"", ""Modelling""],
- [""rendered equations into new software tool"", ""Software""],
- [""rendered 3d animations of system"", ""Software""],
- [""created code for wiki pages"", ""Software""],
- [""created code for wiki pages"", ""Documentation""],
- [""helped unitn igem team with model"", ""Supervision""],
- [""helped unitn igem team with model"", ""Modelling""]]",2015
"Based on the provided phrases and the categories, here are the matches:

- ""part of policy and practice team"" matches with [""Human Practices""]
- ""wrote post note"" matches with [""Documentation""]
- ""created questionnaire on synthetic biology"" matches with [""Human Practices""], [""Public Engagement""]
- ""designed gui for project"" matches with [""Software""], [""Design""]
- ""designed project banner"" matches with [""Creative Contributions""]
- ""interviewed international politicians"" matches with [""Human Practices""], [""Public Engagement""]
- ""developed questionnaire on synthetic biology"" matches with [""Human Practices""], [""Public Engagement""]
- ""improved wiki"" matches with [""Documentation""]
- ""constructed parameters list for modelling"" matches with [""Modelling""]
- ""designed project"" matches with [""Design""]

Therefore, the output as a list of lists is:

```
[[""part of policy and practice team"", ""Human Practices""],
[""wrote post note"", ""Documentation""],
[""created questionnaire on synthetic biology"", ""Human Practices""], [""created questionnaire on synthetic biology"", ""Public Engagement""],
[""designed gui for project"", ""Software""], [""designed gui for project"", ""Design""],
[""designed project banner"", ""Creative Contributions""],
[""interviewed international politicians"", ""Human Practices""], [""interviewed international politicians"", ""Public Engagement""],
[""developed questionnaire on synthetic biology"", ""Human Practices""], [""developed questionnaire on synthetic biology"", ""Public Engagement""],
[""improved wiki"", ""Documentation""],
[""constructed parameters list for modelling"", ""Modelling""],
[""designed project"", ""Design""]]
```",2015
"Based on the given phrases and the categories, here is the matching:

- [[""performed transformations"", ""Experiments""],
- [""produced competent cells"", ""Experiments""],
- [""captured pictures with atomic force microscope"", ""Experiments""],
- [""ran organisational infrastructure"", ""Administration""],
- [""managed social network channels"", ""Public Engagement""],
- [""liaised collaborations with unitn igem team"", ""Collaboration""],
- [""part of wet lab team"", ""Experiments""],
- [""validated fusion protein"", ""Experiments""],
- [""carried out afm imaging"", ""Experiments""],
- [""carried out congo red and heme plating"", ""Experiments""]]",2015
"Matching: 
- [[""involved in lab work"", ""Experiments""],
- [""did transformations"", ""Experiments""],
- [""helped with various protocol"", ""Experiments""],
- [""contributed to scientific writing"", ""Documentation""],
- [""involved in all wet lab aspects"", ""Experiments""],
- [""carried out ligations"", ""Experiments""],
- [""carried out pcr reactions"", ""Experiments""],
- [""ran diagnostic restriction digest gels"", ""Experiments""],
- [""involved in outreach events"", ""Public Engagement""],
- [""created posters and envirowire logo"", ""Creative Contributions""]]",2015
"Based on the provided phrases and the categories, here is the matching:

- [[""presented at outreach events"", ""Public Engagement""],
- [""managed social networking"", ""Public Engagement""],
- [""designed presentations"", ""Creative Contributions""],
- [""helped with scientific and wiki writing"", ""Documentation""],
- [""carried out congo red plating"", ""Experiments""],
- [""carried out transformations"", ""Experiments""],
- [""designed and wrote wiki"", ""Documentation""],
- [""created kent igem logo"", ""Creative Contributions""],
- [""part of main wet lab team"", ""Experiments""],
- [""carried out mini-preps"", ""Experiments""]]",2015
"Based on the provided phrases and the categories, here are the matches:

- [[""carried out gibson assembly"", ""Experiments""],
- [""contributed mainly to wet lab team"", ""Experiments""],
- [""carried out restriction dna digestion"", ""Experiments""],
- [""carried out ligation reactions"", ""Experiments""],
- [""involved in policies and practice"", ""Human Practices""],
- [""gathered mps opinion on synthetic biology"", ""Human Practices""],
- [""aided in design of questionnaire"", ""Human Practices""],
- [""conducted interviews"", ""Human Practices""],
- [""presented project at meet-ups"", ""Public Engagement""],
- [""carried out diagnostics tests"", ""Experiments""]]",2015
