text,year
"[[""collaborated with"", ""work""]]",2009
"Matching: [[""participated in"", ""meetup""], [""collaborated with"", ""work""], [""received help from"", ""work""], [""received advice from"", ""advice""]]",2011
"[[""collaborated with"", ""work""], [""received help from"", ""advice""]]",2012
"[[""collaborated"", ""work""], [""collaborated with"", ""work""], [""helped"", ""advice""], [""participated in"", ""meetup""]]",2014
"[[""collaborated with"", ""work""], [""collaborated"", ""work""], [""helped"", ""advice""], [""can work with"", ""work""], [""can help improve"", ""advice""], [""can help characterize"", ""advice""], [""can help debug"", ""advice""], [""can help model or simulate"", ""advice""], [""can help test"", ""advice""], [""can help build and test"", ""advice""]]",2015
"[[""can mentor"", ""advice""], [""worked on"", ""work""], [""wrote report with"", ""work""], [""met at"", ""meetup""], [""practiced presentation with"", ""work""], [""organized get-to-know-each-other activity with"", ""meetup""], [""skyped with"", ""meetup""], [""contacted"", ""other""], [""emailed and had Skype session with"", ""meetup""], [""interested in collaborating/helping to mentor"", ""work""]]",2015
"Matching: [[""exchanged ideas with"", ""work""], [""attended conference organized by"", ""meetup""], [""cooperated with"", ""work""], [""acknowledged"", ""other""], [""received support from"", ""advice""], [""detected"", ""other""], [""tested software using"", ""work""], [""received help from"", ""advice""], [""exchanged advice with"", ""advice""], [""characterized parts for"", ""work""]]",2015
"[[""helped with wiki coding for"", ""work""], 
[""participated in Synthetic Biology Day with"", ""meetup""], 
[""provided replicates to"", ""material transfer""], 
[""confirmed fluorescence of constructs for"", ""work""], 
[""received images from"", ""material transfer""], 
[""reported data to"", ""work""], 
[""received data from"", ""material transfer""], 
[""participated in"", ""work""], 
[""attended"", ""other""], 
[""congratulated"", ""other""]]",2015
"[[""met"", ""meetup""], [""thanked"", ""other""], [""hopes for"", ""other""], [""looks forward to"", ""other""], [""received suggestions from"", ""advice""], [""received questions from"", ""other""], [""participated in survey"", ""other""]]",2015
"Matching: 
- [[""collaborated with"", ""work""]]
- [[""provided access to"", ""material transfer""]]
- [[""received feedback from"", ""advice""]]
- [[""distributed survey created by"", ""material transfer""]]
- [[""characterized temperature-sensitive promoter from"", ""work""]]
- [[""collaborated"", ""work""]]
- [[""provided guidance to"", ""advice""]]
- [[""aided in modeling process of"", ""work""]]
- [[""helped debugging protocol of"", ""work""]]
- [[""shared protocols with"", ""material transfer""]]",2016
"Matching: [[""shared layout of educational program with"", ""material transfer""], [""advised regarding appeal to government with"", ""advice""], [""contacted"", ""other""], [""interviewed"", ""work""], [""met"", ""meetup""], [""would like to meet and chat more to"", ""meetup""], [""wrote PC program for"", ""work""], [""communicated with"", ""work""], [""gave help in"", ""work""], [""offered assistance to"", ""work""]]",2016
"sent structures and sequences to: [[""sent structures and sequences to"", ""material transfer""]]

participated in mini Jamboree hosted by: [[""participated in mini Jamboree hosted by"", ""meetup""]]

mentored: [[""mentored"", ""advice""]]

engaged in competition: [[""engaged in competition"", ""work""]]

connected by: [[""connected by"", ""other""]]

trained together: [[""trained together"", ""work""]]

shared cloning materials with: [[""shared cloning materials with"", ""material transfer""]]

had great communication with: [[""had great communication with"", ""other""]]

based projects on same technology platform with: [[""based projects on same technology platform with"", ""work""]]

assisted: [[""assisted"", ""work""]]",2016
"Matching: [[""provided samples to"", ""material transfer""], [""helped"", ""work""], [""received help from"", ""work""], [""offered"", ""work""], [""tested software from"", ""material transfer""], [""discussed survey responses with"", ""work""], [""gave feedback to"", ""advice""], [""communicating with"", ""work""], [""supported"", ""work""], [""provided suggestions to"", ""advice""]]",2016
