context,category
collaborated within,work
collaborated,work
participated in,other
acknowledges support from,other
received materials and advice from,material transfer
received advice from,advice
collaborated,work
provided lab space,material transfer
supplied materials and advice,material transfer
provided advice,advice
created contacts,other
will help to characterise,work
established collaboration,work
collaborated,work
helped,advice
participated in study,work
participated in workshop organized by,meetup
helped with surveys for,work
collaborated,work
provided,material transfer
hosted,meetup
shared,material transfer
held meetup with,meetup
provided feedback to,advice
guided by,advice
co-hosted,meetup
participated,other
met,meetup
exchanged ideas,advice
presented projects,meetup
discussed projects,meetup
offered advice to,advice
expressed interest in collaboration with,other
posed questions by,advice
visited,meetup
participated in conference,meetup
cooperated,work
received parts from,material transfer
received guidance and environment from,advice
received site and meeting rooms from,other
continuous contact,other
provided inputs on,advice
helped,advice
special thanks,other
affiliated,other
discussed modeling with,advice
project assistance,work
suggested,advice
advised,advice
benefited from cooperation with,work
sibling relationship,other
characterized parts for,material transfer
collaborated on wiki coding,work
co-organized SynBioDay with,meetup
co-organized SynBioDay at,meetup
acknowledged,other
provided samples to,material transfer
congratulated,other
received feedback from,advice
received question from,other
received suggestion from,advice
participated in surveys and gave feedback,other
received plasmids from,material transfer
collaborated,work
contributed to,work
distributed survey for,other
tutored,advice
aided in modeling,work
helped with cloning,work
shared educational program layout,material transfer
advised on government appeal,advice
assisted,work
shared laboratory with,work
received training with,work
shared materials with,material transfer
joined platform with,other
helped with modeling,advice
received software assistance,advice
wrote a PC program for,work
communicated with,other
advised,advice
communicated and advised,advice
helped with experiment and web design,work
discussed with,advice
offered,material transfer
participated in mini Jamboree hosted by,meetup
algorithm used by,material transfer
communicated,advice
participated in newsletter,other
provided,material transfer
experiment for,work
feedback for,advice
helped,other
discussed projects with,meetup
tested software for,work
mentored,advice
engaged in biocontainment discussion with,meetup
gave feedback on human practices to,advice
visited by,meetup
gave presentations to,meetup
supported,other
gave suggestions to,advice
provided materials to,material transfer
designed brochure for,work
cooperated with,work
participated in event,meetup
supported campaign,other
provided BioBricks,material transfer
organized,other
participated in survey,other
co-organized,other
received guidance from,advice
provided technical guidance,advice
participated in meetup,meetup
exchanged suggestions,advice
participated in conference,meetup
hosted by,other
teamed up,work
organized meetup,meetup
visited with,meetup
visited,meetup
participated in organization of,other
cooperated in sponsorship searching with,work
discussed kit delivery system with,work
cooperated by answering surveys from,other
adjusted model with,work
received advice from,advice
provided 3D printing support to,material transfer
used target DNA from,material transfer
thanked,other
received support from,advice
provided cells and advice to,material transfer
provided lab access,material transfer
provided experimental help,work
guided,advice
sent parts,material transfer
built expression system for,work
received feedback on project from,advice
provided independent opinion to,advice
gave hints on protein modelling to,advice
conference and feedback,meetup
tested for,work
joined campaign of,other
received analysis from,work
discussed,meetup
recommended,advice
sent results to,work
cooperation,work
enlightened by,advice
contributed materials to,material transfer
approved lab use for,material transfer
provided reagents for,material transfer
provided technical support to,advice
supplied,material transfer
filled out and shared surveys for,other
provided experimental help to,work
advised,advice
participated in festival with,meetup
collaborated,work
received characterization material from,material transfer
used model handbook from,material transfer
provided devices for,material transfer
advised on,advice
ongoing support from,advice
support from,advice
planned collaboration,work
thanked for organizing,other
met during meetup,meetup
offered help in biochemistry,advice
offered help in legislation and market study,advice
responded to survey,other
participated in postal card exchange,other
supervised by,other
presentation by,other
organized meetup,meetup
visited for collaboration,work
adopted advice from,advice
multilateral collaboration,work
lab support from,material transfer
analysis support from,material transfer
technical support from,material transfer
hardware support from,material transfer
wiki support from,material transfer
presentation coaching by,advice
Human Practice support from,advice
juridical advice from,advice
media support from,other
fieldwork support from,work
information support from,material transfer
advice on engineering from,advice
SELF talk by,other
photography by,other
proofreading by,advice
advice on project design from,advice
planned cooperation with,work
expressed gratitude for support to,other
participated in online discussion hosted by,meetup
discussed safety with,advice
received beta testing from,work
asked for help,advice
shared laboratory,material transfer
gifted,material transfer
asked for help in contacting,advice
attended conference,meetup
attended and assisted,work
shared strain and discussed,material transfer
gave back plasmids to,material transfer
helped,advice
performed PCR for,work
communicated,other
helped by,advice
gave advice on project design to,advice
offered wiki advice to,advice
gave presentation feedback to,advice
received wetlab advice from,advice
received project advice from,advice
shared project information with,material transfer
is based at,other
includes members from,other
attended,meetup
sought collaboration,work
organized,other
participated,meetup
hosted talk by,meetup
received feedback from,advice
collaborated with,work
collaboration with,work
answered questionnaire,other
thanked,other
received help from,advice
hosted webinars with,meetup
partnered up,work
mentored by,advice
wiki revisions with,work
mentored,advice
provided,material transfer
exchanged feedback,advice
received guidance,advice
received suggestions,advice
provided help,advice
tested parts,work
participated in exchange,material transfer
answered survey,other
participated in discussion,meetup
beta tested software,work
gathered data for,material transfer
conducted Skype session,meetup
provided information,material transfer
feedback to,advice
beta-tested for,work
shared experience with,advice
discussed collaboration with,meetup
tested tool from,work
survey collaboration,work
inspired by,other
encouraged by,advice
advised on data usage by,advice
potential collaboration,other
attended event organized by,meetup
welcomed by,other
informed by,advice
lectured by,advice
hosted,meetup
submitted updates to,other
provided cloning expertise,advice
filled out survey,other
provided lab space and training,material transfer
answered questions,advice
filled out questionnaire,other
provided summary,material transfer
provided platform,material transfer
provided feedback,advice
offered poster space,material transfer
taught,advice
assisted,advice
educated,advice
met,meetup
conducted experiment for,work
hosted education event with,meetup
helped form,advice
discussed projects with,meetup
characterized system for,work
wishes good results,other
helped construct biobrick,work
provided biobricks,material transfer
offered biobricks,material transfer
participated in forum,meetup
provided model handbook,material transfer
provided information for interactive map,material transfer
spread surveys,other
provided document about French GMO regulation,material transfer
organized skype with winemaker,meetup
cooperated,work
validated design for,advice
met and exchanged ideas,meetup
completed survey,other
collaborated,work
data collection collaboration,work
hosted event with,meetup
sponsored by,other
recruited,other
compared cell-free expression with,work
cooperated,work
collaborated on project,work
received plasmid from,material transfer
helped,advice
contributed knowledge to,advice
received help from,advice
hosted meetup,meetup
mutual support,advice
assisted,advice
introduced GGA,work
provided protocols,material transfer
advised,advice
introduced Phytobricks,material transfer
provided protocol,material transfer
received feedback,advice
provided feedback,advice
participated,other
hosted by,meetup
interacted and advised,advice
formed close connection,other
offered help and advice,advice
translated videos,work
translated booklet part,work
shared local information,advice
collaborated for WeChat Push article,work
plan to integrate technology from,other
mentored,advice
provided education and technical support to,advice
helped with DNA nanostructure design advising,advice
helped with BioBricks cloning,work
helped with InterLab study,work
helped with preparation of the final submission plate,work
helped organize part cloning demonstration,work
gifted primers,material transfer
sought help from,advice
visited by,meetup
shared ideas with,advice
helped with plasmid,work
received modeling advice from,advice
participated in challenge,other
mentored by,advice
compiled stories with,work
participated in iGEM Day organized by,meetup
presented at,meetup
received feedback from,advice
communicated and exchanged ideas with,advice
hosted,meetup
translated for,other
included Easter egg of,other
provided data,material transfer
received assistance,advice
participated in biohackathon with,work
offered feedback to,advice
invited to,meetup
met with,meetup
thanked for measurement and statistics,work
cooperated in transformation methods and confirmation,work
shared data for model verification,material transfer
compared data and found similarities,work
compared data and found differences,work
sister team relationship,other
shared project design and experiment support,work
shared experimental materials and equipment,material transfer
conducted interLab experiment together,work
discussed data and consequences together,advice
gave new plasmid backbone for parts standardization,material transfer
shared knowledge,advice
used tool from,material transfer
attended conference,meetup
interacted with,other
provided protocol to,material transfer
participated in activity,meetup
offered advice to,advice
assisted by,work
attended,meetup
exchange visit,meetup
reached out,other
invited,meetup
planned collaboration with,work
communicated,other
communicated via,other
participated in video project,work
participated in video project with,work
workshop participation,meetup
intermediated reagent support,material transfer
distributed reagents,material transfer
participated in meetup,meetup
discussed with,advice
lent lab for interlab study,material transfer
provided LB agars for interlab experiments,material transfer
provided competent cells E.coliTOP10,material transfer
taught basic lab techniques,advice
hoped to use copper absorbing device,other
suggested teaching modelling,advice
participated in event organized by,meetup
presented to,meetup
inspired by,other
received suggestions from,advice
had Q&A session provided by,advice
wished to host,other
co-hosted event,meetup
had social gatherings,meetup
shared outreach strategies,advice
co-created educational material,work
co-created social media group,work
participated in conference,meetup
communicated with,advice
received advice from,advice
attended lecture by,meetup
won award at,other
organized,other
participant,other
exchanged postcards with,other
received parts from,material transfer
sent package to,material transfer
collaborated by survey,work
organized meetup,meetup
shared information,material transfer
provided water samples,material transfer
arranged Skype meeting,meetup
gifted,other
conducted experiments with,work
lent equipment to,material transfer
held a lecture for,advice
guided,advice
featured,other
participated in tutorial,meetup
finished inter-lab with,work
provided substrates to,material transfer
