text,year
"Matching: [[""collaborated"", ""work""], [""participated in survey"", ""other""], [""helped"", ""work""], [""worked with"", ""work""], [""co-organized meetup"", ""meetup""], [""support from"", ""advice""]]",2009
"Matching: [[""participated in alliance"", ""work""], [""received lab space from"", ""material transfer""], [""received genomic DNA from"", ""material transfer""], [""received advice from"", ""advice""]]",2011
"[[""collaborated"", ""work""], [""benefited from"", ""other""]]",2012
"Matching: [[""created contacts"", ""other""], [""provided parts"", ""material transfer""], [""characterise parts"", ""work""], [""collaboration"", ""work""], [""collaborated"", ""work""], [""helped"", ""advice""], [""participated in"", ""meetup""]]",2014
"Matching: [[""attended workshop"", ""meetup""], [""helped with data collection"", ""work""], [""collaborated"", ""work""], [""provided"", ""material transfer""], [""invited"", ""meetup""], [""shared"", ""material transfer""], [""held meetup"", ""meetup""], [""spotted errors"", ""advice""], [""provided feedback"", ""advice""], [""guided by"", ""advice""]]",2015
"Matching: [[""participated in conference"", ""meetup""], [""communicated with"", ""other""], [""posed questions to"", ""advice""], [""visited"", ""meetup""], [""met and exchanged ideas"", ""meetup""], [""attended conference held by"", ""meetup""], [""cooperated and modified gene pathway"", ""work""], [""provided parts"", ""material transfer""], [""provided guidance and experimental environment"", ""advice""], [""provided experimental site and meeting rooms"", ""material transfer""]]",2015
"[[""sponsorship"", ""other""], [""affiliation"", ""other""], [""contacted and shared experience"", ""advice""], [""had project seminar"", ""meetup""], [""helped optimize and characterize part"", ""work""], [""discussed with"", ""advice""], [""helped"", ""advice""], [""adjusted variables and corrected parameters for"", ""work""], [""found solution for"", ""advice""], [""collaborated with"", ""work""]]",2015
"Matching: [[""helped establish project part for"", ""work""], [""followed protocol of"", ""work""], [""received advice from"", ""advice""], [""advised"", ""advice""], [""co-organized meetup"", ""meetup""], [""competition participants"", ""other""], [""provided samples"", ""material transfer""], [""attended event"", ""meetup""], [""congratulated"", ""other""], [""thanked"", ""other""]]",2015
"Matching: [[""participated in event"", ""meetup""], [""received suggestions from"", ""advice""], [""received question from"", ""advice""], [""received suggestion from"", ""advice""], [""participated in surveys and gave feedback"", ""work""]]",2015
"Matching: [[""received plasmids from"", ""material transfer""], [""collaborated"",""work""], [""used facility"",""other""], [""contributed"",""work""], [""distributed survey"",""other""], [""constructed"",""work""], [""transformed and characterized"",""work""], [""provided guidance"",""advice""], [""aided in modeling process"",""work""], [""debugged protocol"",""work""], [""shared protocols"",""material transfer""]]",2016
"Matching: [[""shared educational program"", ""material transfer""], [""advised"", ""advice""], [""assisted"", ""work""], [""helped"", ""advice""], [""shared laboratory with"", ""work""], [""shared materials with"", ""material transfer""], [""communication platform"", ""other""], [""interviewed"", ""other""], [""received help in modeling"", ""advice""], [""wrote a PC program for"", ""work""]]",2016
"Matching: [[""communicated with"", ""other""], [""received help in experiment and web design from"", ""work""], [""received advice from"", ""advice""], [""offered assistance"", ""work""], [""sent materials to"", ""material transfer""], [""participated in event hosted by"", ""meetup""], [""offered to improve"", ""work""], [""communicated"", ""other""], [""participated in newsletter"", ""other""], [""mentored"", ""advice""]]",2016
"Matching: [[""assisted and received help from"", ""work""], [""conducted experiment for"", ""work""], [""offered"", ""other""], [""discussed projects"", ""meetup""], [""tested and gave feedback"", ""advice""], [""collaborated and discussed survey responses"", ""work""], [""gave feedback"", ""advice""], [""invited by"", ""meetup""], [""supported"", ""advice""], [""gave suggestions to"", ""advice""]]",2016
